Year,"color band (XoYleft, right)"
2021,"LB/Al, W/DG"
2021,"DG/Al, L/Y"
2021,"O/Al, W/Y"
2021,"LG/Al, DG/BW"
2021,"DB/Al, L/R"
2021,"Y/Al, LG/L"
2021,"LG/Al, O/B"
2021,"LB/Al, R/LB"
2021,"O/Al, B/R"
2021,"B/Al, L/W"
2021,"LB/Al, RW/DB"
2021,"B/Al, R/DG"
2021,"B/Al, LG/Y"
2021,"DG/Al, R/LGL"
2021,"LB/Al, LB/W"
2021,"DB/Al, LB/R"
2021,"DG/Al, LG/B"
2021,"BW/Al, DG/Y"
2021,"Y/Al, BW/RW"
2021,"LG/Al, LGL/O"
2021,"RW/Al, B/LB"
2021,"B/Al, W/L"
2021,"B/Al, L/W"
2021,"R/Al, DG/B"
2021,"O/Al, LG/Y"
2021,"L/Al, O/DG"
2021,"Y/Al, R/W"
2021,"O/Al, R/LG"
2021,"L/Al, DG/W"
2021,"L/Al, O/W"
2021,"Y/Al, LGL/W"
2021,"L/Al, O/R"
2021,"RW/Al, LG/DB"
2021,"R/Al, LG/O"
2021,"R/Al, LB/LGL"
2021,"Y/Al, DB/LG"
2021,"B/Al, R/LGL"
2021,"L/Al, Y/DB"
2021,"O/Al, L/R"
2021,"B/DG, W/Al"
2021,"LG/W, O/Al"
2021,"W/LG, O/Al"
2021,"Y/LG, W/Al"
2021,", Al"
2021,"HPDB/Al, L/W"
2021,"DB/Al, Y/W"
2021,"R/Al, DB/B"
2021,"O/Al, B/DB"
2021,"B/Al, O/W"
2021,"RW/Al, O/W"
2021,"Y/Al, LB/DG"
2021,"O/Al, W/L"
2021,"B/Al, DB/RW"
2021,"RW/Al, LGY/LGY"
2021,"BW/LW, O/Al"
2021,"LG/AL, Y/L"
2021,"RY/Al, R/W"
2021,"O/DG, L/Al"
2021,"Y/DG, L/Al"
2021,"DG/Y, O/Al"
2021,"DB/LG, RW/Al"
2021,"LG/RW, DB/Al"
2021,"DB/O, RW/Al"
2021,"O/RW, LG/Al"
2021,"RY/Al, LW/DG"
2021,"LB/R, BW/Al"
2021,"BW/DG, LB/Al"
2021,"R/DG, BW/Al"
2021,"DG/LB, R/Al"
2021,"Y/LW, LB/Al"
2021,"LG/LW, B/Al"
2021,"B/LG, LW/Al"
2021,"HPDB/B, O/Al"
2021,"HPDB/B, DG/Al"
2021,"B/O, HPDB/Al"
2021,"O/LGL, W/Al"
2021,"W/Al, DG/B"
2021,"O/Al, LW/DB"
2021,"LGL/Al, DG/O"
2021,"DB/Al, DB/BW"
2021,"L/DB, Y/Al"
2021,"L/Y, DB/Al"
2021,"HPDB/Al, Y/L"
2021,"DG/Al, RY/L"
2021,"LG/Al, L/O"
2021,"LGL/R, LB/Al"
2021,"R/LGL, LB/Al"
2021,"LB/LGL, R/Al"
2021,"O/Al, R/BW"
2021,"R/Al, LGL/LB"
2021,"W/B, LGL/Al"
2021,"B/W, LGL/Al"
2021,"RW/Al, L/DB"
2021,"Y/Al, B/O"
2021,"DB/Al, LW/Y"
2021,"Y/Al, RW/L"
2021,"LB/Y, R/Al"
2021,"LB/R, Y/Al"
2021,"Y/LB, R/Al"
2021,"Y/R, LB/Al"
2021,"B/W, Y/Al"
2021,"B/W, R/Al"
2021,"DB/B, RY/Al"
2021,"B/DB, RY/Al"
2021,"RY/DB, B/Al"
2021,"RW/O, B/Al"
2021,"O/RW, B/Al"
2021,"LW/DG, Y/Al"
2021,"DG/Y, LW/Al"
2021,"Y/DG, LW/Al"
2021,"B/Al, L/DG"
2021,"RW/Al, R/B"
2021,"L/Al, DB/Y"
2021,"Al/W, Y/L"
2021,"W/Al, LG/LB"
2021,"B/Al, L/LG"
2021,"O/RW, W/Al"
2021,"RW/O, W/Al"
2021,"LW/RW, DB/Al"
2021,"LW/RW, LGL/Al"
2021,"RW/LW, DB/Al"
2021,"LGL/LW, LGL/Al"
2021,"LG/HPDB, B/Al"
2021,"HPDB/LG, B/Al"
2021,"DG/RY, W/Al"
2021,"RY/DG, W/Al"
2021,"DG/RY, O/Al"
2021,"RY/DG, O/Al"
2021,L
2021,"DG/O, RY/Al"
2021,"B/Al, LB/O"
2021,"L/Al, B/DB"
2021,"RW/LB, DG/Al"
2021,"LB/RW, R/Al"
2021,"Y/Al, LG/B"
2021,"Y/Al, LW/O"
2021,"DB/Al, LGL/O"
2021,"BW/LB, DG/Al"
2021,"LB/BW, DG/Al"
2021,"DG/BW, LB/Al"
2021,"L/RW, Y/Al"
2021,"R/LW, Y/Al"
2021,"LW/R, Y/Al"
2021,"Y/LW, R/Al"
2021,"LGL/LB, O/Al"
2021,"LB/LGL, O/Al"
2021,"W/Al, LG/LW"
2021,"RY/W, DG/Al"
2021,"W/Al, DG/L"
2021,"LB/Al, O/LW"
2021,"DB/RW, Y/Al"
2021,"RW/DB, Y/Al"
2021,"O/Al, BW/LG"
2021,"DG/Al, LG/BW"
2021,"DG/R, RY/Al"
2021,"DB/R, RY/Al"
2021,"R/DB, RY/Al"
2021,"Y/O, O/Al"
2021,"Y/O, B/Al"
2021,"O/Y, B/Al"
2021,"LG/W, DB/Al"
2021,"B/LG, DB/Al"
2021,"DB/W, LG/Al"
2021,"RW/DG, LGL/Al"
2021,"DG/R, RW/Al"
2021,"R/RW, R/Al"
2021,"DG/RW, R/Al"
2021,
2021,
2021,
2021,
2021,"DB/Al, G/Y"
2021,"DB/Al, RY/LW"
2021,"L/Al, B/DBR"
2021,"R/Al, LG/BW"
2021,"RY/Al, O/W"
2021,"B/Al, LW/R"
2021,"DG/Al, DBR/LB"
2021,"LG/Al, RY/LB"
2021,"W/LW, DB/Al"
2021,"LW/W, DB/Al"
2021,"W/LW, W/Al"
2021,"L/LB, R/AL"
2021,"LB/L, R/AL"
2021,"LB/R, LB/AL"
2021,"L/LB, LB/AL"
2021,"L/LB, L/AL"
2021,"L/R, R/AL"
2021,"W/Al, BW/DB"
2021,"LW/Al, LG/B"
2021,"L/Al, LW/B"
2021,"R/B, RW/Al"
2021,"RW/R, B/Al"
2021,"B/RW, LGL/Al"
2021,"B/LGL, RW/Al"
2021,"W/DB, BW/Al"
2021,"DB/W, BW/Al"
2021,"DB/BW, W/Al"
2021,"Y/HPDB, B/Al"
2021,"Y/HPDB, Y/Al"
2021,"O/HPDB, B/Al"
2021,"LG/RW, Y/Al"
2021,"LG/O, RB/Al"
2021,"LG/RB, O/Al"
2021,"R/Al, Y/HPDB"
2021,"O/LW, DB/Al"
2021,"DB/LW, DB/Al"
2021,"O/LW, O/Al"
2021,"W/Al, DBR/DB"
2021,"LGL/Al, O/DG"
2021,"O/Al, LB/Y"
2021,"DG/Al, LW/O"
2021,"LB/O, LW/Al"
2021,"O/LB, LW/Al"
2021,"W/Al, L/DG"
2021,"Y/O, B/Al"
2021,"O/Al, W/R"
2021,"RY/Al, DB/W"
2021,"LB/Al, DBR/R"
2021,"Y/O, DG/Al"
2021,"R/Al, O/LGL"
2021,"O/LG, DB/Al"
2021,"L/Al, O/R"
2021,"L/Al, Y/DB"
2021,"LGL/Al, LB/DG"
2021,"LG/Al, O/DB"
2021,"DB/Al, Y/W"
2021,"L/Al, R/Y"
,"R/Al, DB/Y"
,"Y/Al, L/Y"
,"LG/Al, W/O"
,"DB/Al, R/Y"
,"LG/DG, L/Al"
,"O/Al, O/L"
,"W/Al, Y/LG"
,N/A (see note)
,"LG/Al, R/Y"
,"W/AL, O/R"
,"DB/AL, DB/Y"
,"LG/Al, R/O"
,"Y/Al, DB/O"
,"LG/Al, LG/R"
,"O/Al, Y/DG"
,"Y/Al, W/Y"
,"O/Al, O/DG"
,"DB/Al, RW/RW"
,"R/Al, L/Y"
,"LG/Al, R/O"
,"DB/Al, DB/O"
,"HPDB/Al, O/DG"
,"DB/Al, LG/DG"
,"W/Al, RW/DG"
,"HPDB/Al, R/DB"
,"Y/Al, W/RW"
,"R/Al, DB/O"
,"Al/O, HPDB/HPDB"
,"W/Al, O/L"
,"HPDB/Al, R/W"
,"Y/Al, RW/LG"
,"LG/Al, DB/O"
,"R/Al, Y/R"
,"Y/Al, HPDB/DG"
,"O/Al, O/LG"
,"LG/Al, Y/L"
,"R/Al, R/DG"
,"R/Al, RW/RW"
,"DB/DG, W/Al"
,"DB/Al, O/R"
,"W/Al, DB/O"
,"O/Al, L/Y"
,"LG/Al, W/Y"
,"HPDB/Al, O/LG"
,"DB/Al, W/Y"
,"Y/Al, R/O"
,"LG/Al, DG/Y"
,"HPDB/AL, R/DB"
,"O/LG, L/Al"
,"DB/Al, L/Y"
,"LG/Al, Y/L"
,"HPDB/Al, DG/Y"
,"O/Al, DB/Y"
,"DB/Al, LB/W"
,"LG/Al, DB/Y"
,"HPDB/Al, LG/L"
,"O/Al, RW/Y"
,"L/Al, L/R"
,"LG/LG, L/Al"
,"R/Al, W/O"
,"HPDB/Al, W/O"
,"DG/Al, Y/RW"
,"W/Al, RW/L"
,"DB/Al, W/O"
,"Y/Al, RW/DB"
,"W/Al, LB/Y"
,"RW/Al, DB/DG"
,"HPDB/Al, Y/DB"
,"Y/Al, RW/R"
,"LG/Al, RW/L"
,"Y/Al, DB/Y"
,"R/Al, LG/HPDB"
,"RW/AL, HPDB/DG"
,"O/AL, Y/L"
,"LG/Al, DB/Y"
,"Y/R, DG/AL"
,"DB/AL, DG/O"
,"DB/AL, LG/Y"
,"B/AL, Y/LG"
,"DB/Al, L/R"
,"LB/RY, RW/Al"
,"RY/LB, RW/Al"
,"DG/RY, RW/Al"
,"RY/DG, RW/Al"
,"O/HPDB, LB/Al"
,"HPDB/O, LB/Al"
,"LG/RY, W/Al"
,"RY/LG, W/Al"
,"W/LG, RY/Al"
,"LB/RW, LG/Al"
,"RW/LB, LG/Al"
,"LG/RW, LB/Al"
,"RW/LG, LB/Al"
,"B/LW, DB/Al"
,"LW/B, DB/Al"
,"B/DB, LW/Al"
,"L/RY, RW/Al"
,"RY/RW, R/Al"
,"LB/RY, DG/Al"
,"RY/LB, DG/Al"
,"DG/RY, LB/Al"
,"RY/DG, LB/Al"
,"R/DG, W/Al"
,"DG/W, R/Al"
,"Y/O, W/Al"
,"O/Y, W/Al"
,"B/Al, LB/O"
,"DG/Al, LB/R"
,"L/Al, RY/Y"
,"G/Al, DB/Y"
,"LG/HPDB, O/Al"
,"HPDB/LG, O/Al"
,"B/Y, DG/Al"
,"Y/B, DG/Al"
,"LG/O, DB/Al"
,"O/DB, LG/Al"
,"RY/L, RW/Al"
,"RW/RY, R/Al"
,"DG/Al, LW/DB"
2021,"W/Al, DG/RW"
2021,"B/Al, RB/LG"
2021,"LB/Al, R/W"
2021,"Y/Al, DB/R"
2021,"L/Al, B/DG"
2021,"DB/Al, W/DG"
2021,"L/Al, O/Y"
2022,"R/Al, DG/R"
2022,"R/Al, DG/W"
2022,"O/LGL, R/Al"
2022,"LGL/Al, LB/DG"
2022,"DB/Al, Y/LB"
2022,"L/Al, RW/Y"
2022,"L/Al, RY/W"
2022,"DG/Al, LG/B"
2022,"W/Al, RY/W"
2022,"LG/Al, LGL/DB"
2022,"DG/Al, O/Y"
2022,"L/Al, W/DB"
2022,"LB/Al, RY/W"
2022,"DG/Al, L/R"
2022,"B/LW, DB/Al"
2022,"R/Al, DG/W"
2022,"DB/Al, R/O"
2022,"B/Al, Y/R"
2022,"DG/Al, DG/L"
2022,"RY/Al, DG/O"
2022,"L/Al, DB/R"
2022,"O/Al, Y/R"
2022,"O/Al, B/L"
2022,"DB/Al, DG/R"
2022,"O/Al, Y/W"
2022,"R/Al, O/W"
2022,"O/Al, Y/B"
2022,"DB/Al, L/O"
2022,"O/Al, DG/L"
2022,"DB/Al, O/Y"
2022,"L/Al, R/W"
2022,"DG/Al, DG/W"
2022,"R/Al, R/O"
2022,"DG/Al, DG/O"
2022,"DG/Al, O/R"
2022,"DB/Al, R/LGL"
2022,"L/Al, DG/B"
2022,"R/Al, DG/DB"
2022,"O/Al, B/W"
2022,"DB/Al, Y/B"
2022,"DG/Al, DG/O"
2022,"LG/Al, DG/L"
2022,"B/Al, HPDB/L"
2022,"Y/Al, DG/L"
2022,"B/Al, DG/L"
2022,"LB/Al, DG/L"
2022,"B/Al, LG/Y"
2022,"DB/Al, DG/L"
2022,
,
,
,
,
,
,
2022,"L/Al, DB/Y"
2022,"LB/Al, LG/DB"
2022,"BW/Al, LG/R"
2022,"B/Al, LG/L"
2022,"HPDB/Al, DG/R"
2022,"Y/Al, R/B"
2022,"W/Al, Y/DG"
2022,"RY/Al, DG/L"
2022,"O/Al, DG/LG"
2022,"LG/Al, L/R"
2022,"LG/W, O/Al"
2022,"W/Al, RY/W"
